Ticker,Sector Code,Sector,IDX Sector,Sector Index,Subsector,Industry,Subindustry,Company Name,Source
CASS,J,Infrastructures,Infrastruktur,IDXINFRA,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Bandar Udara,Cahaya Aero Services Tbk,IDX Live
CBDK,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,PT Bangun Kosambi Sukses Tbk,IDX Live
CBMF,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Barang Rumah Tangga,Barang Rumah Tangga,Produsen Furnitur Rumah,PT Cahaya Bintang Medan Tbk,IDX Live
CBPE,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,PT Citra Buana Prasida Tbk,IDX Live
CBRE,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,PT Cakra Buana Resources Energi Tbk,IDX Live
CBUT,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,PT Citra Borneo Utama Tbk,IDX Live
CCSI,C,Industrials,Perindustrian,IDXINDUST,Barang Perindustrian,Kelistrikan,Komponen & Peralatan Kelistrikan,PT Communication Cable Systems Indonesia Tbk.,IDX Live
CDIA,J,Infrastructures,Infrastruktur,IDXINFRA,Utilitas,Utilitas Listrik,Utilitas Listrik,PT Chandra Daya Investasi Tbk,IDX Live
CEKA,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Makanan Olahan,Makanan Olahan,PT Wilmar Cahaya Indonesia Tbk.,IDX Live
CENT,J,Infrastructures,Infrastruktur,IDXINFRA,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,PT Centratama Telekomunikasi Indonesia Tbk.,IDX Live
CFIN,G,Financials,Keuangan,IDXFINANCE,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Clipan Finance Indonesia Tbk,IDX Live
CGAS,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,PT Citra Nusantara Gemilang Tbk.,IDX Live
